Production_ID,Production_Date,Product_ID,Planned_Quantity,Produced_Quantity,Rejected_Quantity,Shift,Production_Line
PRD0151,2025-10-05 00:00:00,P007,207,201,4,Evening,Line 1
PRD0046,2025-10-05 00:00:00,P005,403,383,2,Night,Line 2
PRD0157,2025-10-05 00:00:00,P004,213,204,7,Morning,Line 1
PRD0242,2025-10-06 00:00:00,P002,320,293,9,Night,Line 1
PRD0152,2025-10-06 00:00:00,P010,163,152,2,Night,Line 4
PRD0181,2025-10-07 00:00:00,P009,263,243,5,Night,Line 4
PRD0295,2025-10-09 00:00:00,P005,390,368,13,Evening,Line 2
PRD0297,2025-10-11 00:00:00,P007,403,382,7,Morning,Line 1
PRD0017,2025-10-11 00:00:00,P010,348,329,11,Morning,Line 4
PRD0254,2025-10-12 00:00:00,P002,323,310,3,Evening,Line 1
PRD0035,2025-10-12 00:00:00,P010,460,430,14,Evening,Line 4
PRD0058,2025-10-13 00:00:00,P004,263,255,8,Morning,Line 1
PRD0355,2025-10-17 00:00:00,P011,167,162,1,Morning,Line 5
PRD0026,2025-10-17 00:00:00,P002,373,356,12,Morning,Line 1
PRD0093,2025-10-17 00:00:00,P005,198,189,2,Morning,Line 2
PRD0423,2025-10-17 00:00:00,P011,300,296,2,Night,Line 5
PRD0113,2025-10-18 00:00:00,P004,188,177,3,Evening,Line 1
PRD0204,2025-10-18 00:00:00,P004,376,359,6,Morning,Line 1
PRD0025,2025-10-18 00:00:00,P001,132,123,2,Evening,Line 1
PRD0212,2025-10-18 00:00:00,P004,397,376,3,Morning,Line 1
PRD0193,2025-10-18 00:00:00,P003,250,234,9,Morning,Line 2
PRD0088,2025-10-20 00:00:00,P001,186,179,6,Evening,Line 1
PRD0160,2025-10-20 00:00:00,P009,315,300,5,Morning,Line 4
PRD0499,2025-10-20 00:00:00,P002,424,410,6,Evening,Line 1
PRD0198,2025-10-21 00:00:00,P007,308,289,9,Night,Line 1
PRD0023,2025-10-21 00:00:00,P011,416,404,5,Morning,Line 5
PRD0099,2025-10-21 00:00:00,P004,225,211,7,Morning,Line 1
PRD0373,2025-10-22 00:00:00,P011,173,163,4,Morning,Line 5
PRD0326,2025-10-23 00:00:00,P009,372,360,7,Evening,Line 4
PRD0101,2025-10-23 00:00:00,P007,452,413,15,Evening,Line 1
PRD0351,2025-10-25 00:00:00,P004,113,105,3,Morning,Line 1
PRD0478,2025-10-25 00:00:00,P006,376,370,3,Evening,Line 1
PRD0276,2025-10-27 00:00:00,P004,432,423,5,Morning,Line 1
PRD0259,2025-10-27 00:00:00,P002,287,267,3,Morning,Line 1
PRD0481,2025-10-28 00:00:00,P011,265,248,7,Evening,Line 5
PRD0124,2025-10-29 00:00:00,P009,461,450,7,Morning,Line 4
PRD0226,2025-10-29 00:00:00,P012,174,165,2,Night,Line 5
PRD0287,2025-10-30 00:00:00,P003,422,401,15,Evening,Line 2
PRD0417,2025-11-01 00:00:00,P003,114,108,3,Evening,Line 2
PRD0036,2025-11-02 00:00:00,P010,169,156,6,Night,Line 4
PRD0257,2025-11-02 00:00:00,P004,157,150,5,Evening,Line 1
PRD0414,2025-11-03 00:00:00,P003,242,223,6,Night,Line 2
PRD0169,2025-11-04 00:00:00,P008,458,417,14,Morning,Line 1
PRD0393,2025-11-05 00:00:00,P009,493,486,5,Morning,Line 4
PRD0067,2025-11-05 00:00:00,P011,232,223,7,Evening,Line 5
PRD0213,2025-11-05 00:00:00,P003,324,303,5,Morning,Line 2
PRD0320,2025-11-06 00:00:00,P008,416,404,5,Morning,Line 1
PRD0153,2025-11-06 00:00:00,P012,265,255,1,Morning,Line 5
PRD0174,2025-11-07 00:00:00,P007,231,218,7,Evening,Line 1
PRD0298,2025-11-11 00:00:00,P005,361,341,6,Morning,Line 2
PRD0206,2025-11-12 00:00:00,P005,429,419,9,Morning,Line 2
PRD0281,2025-11-12 00:00:00,P003,292,272,5,Evening,Line 2
PRD0172,2025-11-15 00:00:00,P002,279,260,5,Morning,Line 1
PRD0190,2025-11-15 00:00:00,P008,178,170,2,Morning,Line 1
PRD0280,2025-11-16 00:00:00,P008,105,103,1,Night,Line 1
PRD0415,2025-11-17 00:00:00,P011,257,245,5,Morning,Line 5
PRD0364,2025-11-18 00:00:00,P006,201,194,6,Morning,Line 1
PRD0291,2025-11-18 00:00:00,P007,212,202,7,Morning,Line 1
PRD0465,2025-11-19 00:00:00,P004,158,154,3,Morning,Line 1
PRD0142,2025-11-19 00:00:00,P005,311,286,10,Morning,Line 2
PRD0377,2025-11-21 00:00:00,P004,429,401,9,Morning,Line 1
PRD0263,2025-11-22 00:00:00,P002,482,450,11,Evening,Line 1
PRD0363,2025-11-22 00:00:00,P006,291,274,7,Morning,Line 1
PRD0182,2025-11-22 00:00:00,P001,191,180,2,Morning,Line 1
PRD0159,2025-11-24 00:00:00,P001,423,400,15,Evening,Line 1
PRD0489,2025-11-24 00:00:00,P005,314,289,11,Morning,Line 2
PRD0493,2025-11-25 00:00:00,P010,493,468,6,Evening,Line 4
PRD0140,2025-11-26 00:00:00,P007,433,409,7,Morning,Line 1
PRD0187,2025-11-27 00:00:00,P001,243,233,6,Night,Line 1
PRD0108,2025-11-28 00:00:00,P001,423,400,6,Morning,Line 1
PRD0047,2025-11-29 00:00:00,P009,407,382,4,Morning,Line 4
PRD0340,2025-11-30 00:00:00,P009,289,273,10,Morning,Line 4
PRD0472,2025-11-30 00:00:00,P006,364,349,7,Morning,Line 1
PRD0049,2025-11-30 00:00:00,P012,157,153,2,Morning,Line 5
PRD0256,2025-11-30 00:00:00,P004,464,450,4,Night,Line 1
PRD0075,2025-12-01 00:00:00,P005,212,196,4,Morning,Line 2
PRD0275,2025-12-02 00:00:00,P009,491,473,6,Evening,Line 4
PRD0487,2025-12-04 00:00:00,P008,209,196,3,Evening,Line 1
PRD0278,2025-12-05 00:00:00,P005,404,389,9,Morning,Line 2
PRD0189,2025-12-05 00:00:00,P004,386,365,5,Evening,Line 1
PRD0095,2025-12-05 00:00:00,P001,322,298,11,Night,Line 1
PRD0127,2025-12-05 00:00:00,P002,415,403,6,Morning,Line 1
PRD0164,2025-12-06 00:00:00,P012,398,378,11,Morning,Line 5
PRD0185,2025-12-06 00:00:00,P012,247,232,8,Morning,Line 5
PRD0436,2025-12-07 00:00:00,P012,227,216,3,Evening,Line 5
PRD0463,2025-12-08 00:00:00,P007,151,139,4,Morning,Line 1
PRD0302,2025-12-08 00:00:00,P005,262,258,2,Morning,Line 2
PRD0018,2025-12-09 00:00:00,P007,100,97,0,Night,Line 1
PRD0411,2025-12-11 00:00:00,P005,260,250,9,Evening,Line 2
PRD0111,2025-12-11 00:00:00,P011,353,322,11,Morning,Line 5
PRD0128,2025-12-13 00:00:00,P001,353,333,9,Evening,Line 1
PRD0466,2025-12-14 00:00:00,P011,362,352,9,Night,Line 5
PRD0381,2025-12-14 00:00:00,P011,445,429,13,Evening,Line 5
PRD0268,2025-12-14 00:00:00,P003,422,399,10,Morning,Line 2
PRD0071,2025-12-15 00:00:00,P005,221,218,3,Night,Line 2
PRD0274,2025-12-15 00:00:00,P008,122,115,1,Morning,Line 1
PRD0255,2025-12-16 00:00:00,P005,390,379,10,Evening,Line 2
PRD0033,2025-12-17 00:00:00,P009,371,341,8,Evening,Line 4
PRD0110,2025-12-17 00:00:00,P007,149,145,1,Night,Line 1
PRD0296,2025-12-18 00:00:00,P010,98,91,2,Evening,Line 4
PRD0315,2025-12-19 00:00:00,P009,266,248,5,Morning,Line 4
PRD0134,2025-12-19 00:00:00,P002,180,171,4,Morning,Line 1
PRD0145,2025-12-20 00:00:00,P007,102,97,2,Morning,Line 1
PRD0195,2025-12-20 00:00:00,P005,435,408,9,Evening,Line 2
PRD0495,2025-12-20 00:00:00,P009,334,329,4,Morning,Line 4
PRD0456,2025-12-20 00:00:00,P011,292,266,10,Evening,Line 5
PRD0440,2025-12-21 00:00:00,P012,232,222,4,Night,Line 5
PRD0449,2025-12-22 00:00:00,P005,447,415,8,Morning,Line 2
PRD0201,2025-12-22 00:00:00,P010,233,220,8,Morning,Line 4
PRD0234,2025-12-22 00:00:00,P001,474,439,9,Morning,Line 1
PRD0299,2025-12-22 00:00:00,P002,274,269,3,Night,Line 1
PRD0288,2025-12-23 00:00:00,P002,118,108,3,Night,Line 1
PRD0063,2025-12-26 00:00:00,P005,190,182,4,Morning,Line 2
PRD0462,2025-12-26 00:00:00,P010,292,278,7,Evening,Line 4
PRD0167,2025-12-26 00:00:00,P007,208,197,5,Night,Line 1
PRD0072,2025-12-27 00:00:00,P008,170,164,3,Morning,Line 1
PRD0372,2025-12-27 00:00:00,P002,294,279,7,Night,Line 1
PRD0083,2025-12-27 00:00:00,P003,288,268,7,Evening,Line 2
PRD0343,2025-12-28 00:00:00,P002,434,416,11,Morning,Line 1
PRD0438,2025-12-29 00:00:00,P010,297,294,1,Night,Line 4
PRD0221,2025-12-29 00:00:00,P010,183,171,4,Morning,Line 4
PRD0197,2025-12-30 00:00:00,P002,141,138,3,Morning,Line 1
PRD0433,2025-12-31 00:00:00,P012,209,204,4,Evening,Line 5
